"","ARR_DEL15","DAY_OF_WEEK","CARRIER","DEST","ORIGIN","DEP_TIME_BLK"
"4640","0.00","2","DL","ATL","SFO","1700-1759"
"4650","0.00","2","DL","ATL","DFW","0001-0559"
"4671","0.00","2","DL","JFK","LAX","0600-0659"
"4673","0.00","2","DL","DFW","ATL","1300-1359"
"4674","0.00","2","DL","ATL","DFW","1600-1659"
"4729","0.00","2","DL","ATL","DFW","0800-0859"
"4730","0.00","2","DL","LAX","ATL","1600-1659"
"4744","0.00","2","DL","ATL","DFW","0700-0759"
"4748","0.00","2","DL","ATL","PHX","0001-0559"
"4756","0.00","2","DL","ORD","ATL","1600-1659"
"4757","0.00","2","DL","ATL","ORD","1800-1859"
"4796","0.00","2","DL","ORD","ATL","0700-0759"
"4833","0.00","2","DL","JFK","SFO","1600-1659"
"4839","0.00","2","DL","PHX","ATL","1300-1359"
"4916","0.00","2","DL","ATL","DFW","1300-1359"
"4919","0.00","2","DL","ORD","ATL","1900-1959"
"4945","0.00","2","DL","CLT","ATL","1300-1359"
"4946","0.00","2","DL","ATL","CLT","1500-1559"
"5004","0.00","2","DL","ORD","ATL","0800-0859"
"5021","0.00","2","DL","ATL","CLT","0600-0659"
"5024","0.00","2","DL","LAS","ATL","0800-0859"
"5045","0.00","2","DL","ATL","LAX","0600-0659"
"5068","0.00","2","DL","ORD","ATL","2000-2059"
"5080","0.00","2","DL","ATL","CLT","1200-1259"
"5090","0.00","2","DL","JFK","LAX","1400-1459"
"5145","0.00","2","DL","DFW","ATL","0800-0859"
"5190","0.00","2","DL","JFK","ATL","0800-0859"
"5195","0.00","2","DL","LAX","ATL","2100-2159"
"5259","0.00","2","DL","ATL","ORD","0800-0859"
"5268","0.00","2","DL","DFW","ATL","2000-2059"
"5269","0.00","2","DL","CLT","ATL","0700-0759"
"5270","0.00","2","DL","ATL","CLT","0900-0959"
"5467","0.00","2","DL","CLT","ATL","1200-1259"
"5468","0.00","2","DL","ATL","CLT","1400-1459"
"5514","0.00","2","DL","ATL","ORD","1100-1159"
"5515","0.00","2","DL","CLT","ATL","1500-1559"
"5516","0.00","2","DL","ATL","CLT","1700-1759"
"5553","0.00","2","DL","SFO","LAX","0700-0759"
"5554","0.00","2","DL","LAX","SFO","0700-0759"
"5555","0.00","2","DL","LAX","SFO","0800-0859"
"5557","1.00","2","DL","LAX","SFO","0900-0959"
"5558","0.00","2","DL","SFO","LAX","1000-1059"
"5560","0.00","2","DL","LAX","SFO","1100-1159"
"5561","0.00","2","DL","LAX","SFO","1200-1259"
"5563","0.00","2","DL","SFO","LAX","1500-1559"
"5566","0.00","2","DL","SFO","LAX","1700-1759"
"5567","0.00","2","DL","LAX","SFO","1700-1759"
"5568","0.00","2","DL","SFO","LAX","1800-1859"
"5569","0.00","2","DL","SFO","LAX","1900-1959"
"5570","0.00","2","DL","LAX","SFO","1900-1959"
"5580","0.00","2","DL","ATL","JFK","1700-1759"
"5597","0.00","2","DL","LAX","ATL","1700-1759"
"5606","0.00","2","DL","PHX","JFK","0800-0859"
"5624","0.00","2","DL","ATL","PHX","0700-0759"
"5667","0.00","2","DL","LAS","ATL","2100-2159"
"5672","0.00","2","DL","ATL","ORD","1400-1459"
"5725","0.00","2","DL","LAS","LAX","1100-1159"
"5732","0.00","2","DL","ORD","ATL","1100-1159"
"5747","0.00","2","DL","CLT","ATL","1600-1659"
"5748","0.00","2","DL","ATL","CLT","1800-1859"
"5766","0.00","2","DL","JFK","ATL","0900-0959"
"5778","0.00","2","DL","ATL","ORD","1000-1059"
"5804","0.00","2","DL","PHX","LAX","1800-1859"
"5843","0.00","2","DL","LAS","LAX","2100-2159"
"5850","0.00","2","DL","ATL","LAS","1100-1159"
"5883","0.00","2","DL","ATL","ORD","0600-0659"
"5889","0.00","2","DL","JFK","ATL","2000-2059"
"5914","0.00","2","DL","LAS","LAX","0700-0759"
"5957","0.00","2","DL","ATL","SFO","2200-2259"
"5960","0.00","2","DL","ATL","LAS","2300-2359"
"5976","1.00","2","DL","PHX","ATL","1700-1759"
"5984","0.00","2","DL","ATL","LAX","0001-0559"
"6037","0.00","2","DL","JFK","LAX","2100-2159"
"6051","0.00","2","DL","ATL","DFW","1400-1459"
"6086","0.00","2","AA","DFW","ORD","1700-1759"
"6089","0.00","2","AA","ORD","DFW","2200-2259"
